fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_bin	min_gain_to_split	lambda_l1	lambda_l2	ganancia	iteracion
20220601 062710	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	9403	TRUE	0.0024433265525745	0.39166365785482	7765	555	0.0126888299428457	0.0090226139127356	0.157648932455576	65.3148409287025	36903000	109
20220601 062901	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	939	TRUE	0.0156913762364155	0.391971595721074	7974	525	0.0146836813634211	0.00385966170915364	0.649382376812981	99.5290618647833	37200000	110
20220601 063023	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	444	TRUE	0.0198193347655829	0.489706730969029	1083	1135	0.012411058390282	0.00611795796810527	0.0657712636883363	24.5530462469033	37736000	111
20220601 063325	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1293	TRUE	0.0109236819985017	0.49922542605987	1161	853	0.0121083890643086	0.00667581495690204	0.172671886437846	68.579035315369	37920000	112
20220601 063507	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	750	TRUE	0.019834541125666	0.398222142309945	1222	1126	0.0125387645060405	0.00182613928111569	0.0499667521132788	62.9525475057119	37941000	113
20220601 063655	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	719	TRUE	0.0172872386985831	0.415703515463986	1165	1103	0.01246934537144	0.00162155795107843	0.037622361020944	32.1013675452579	37855000	114
20220601 063759	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	258	TRUE	0.0199468723862573	0.487688514445372	1210	1083	0.0124555872381895	0.00287019847356117	0.836617976818449	0.164073149351143	37198000	115
20220601 064448	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2669	TRUE	0.00382392506826449	0.425108491834475	957	947	0.0123099387156435	0.00731984028418808	0.298509943202556	31.7046571228769	37971000	116
20220601 064811	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1391	TRUE	0.00826601469723753	0.452064955052871	1297	1114	0.0123741383832338	0.00616111256143298	0.00763450112788974	41.6880049582584	37903000	117
20220601 065007	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	915	TRUE	0.0184777246172143	0.316126037146274	1238	1311	0.0125303535058273	0.00730548100823068	6.38711663696991	32.9938838917819	38049000	118
20220601 065222	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1147	TRUE	0.0181615802822164	0.357859837367964	1581	1162	0.0122831312784788	0.00841401410965474	0.644052141297136	58.4691416555266	37837000	119
20220601 065312	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	405	TRUE	0.0199189949686142	0.313805691198395	1207	1403	0.0124125769898651	0.00317290584039332	54.4009449677819	16.3554948601044	36280000	120
20220601 065517	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	958	TRUE	0.018207500421637	0.401583732867682	1218	1302	0.0124423193279278	0.00344544942788977	0.291646964362115	55.3162713292326	37996000	121
20220601 070811	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	6284	TRUE	0.00288996331043224	0.371645759789183	857	1325	0.0124896609756207	0.007986351161581	1.90490974344012	66.1683453024509	38013000	122
20220601 071011	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	834	TRUE	0.0185069079695564	0.40805072857347	1760	850	0.0124042506442698	0.00287394786681706	0.0333112336319506	55.752322933161	37850000	123
20220601 071313	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1582	TRUE	0.0140115869704679	0.434318736810805	2166	844	0.0125617719398	0.00168973335185081	3.66647338119734	93.8597091545218	37317000	124
20220601 071853	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2001	TRUE	0.00508360300910269	0.363560098486264	234	1092	0.0123413166483087	0.00758267780024751	0.126459379202276	67.1469711050755	37421000	125
20220601 073447	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	9516	TRUE	0.00216601608658203	0.462368685866106	1194	1347	0.0124235647768122	0.00833745210569957	4.70111527298438	94.6915657848829	37750000	126
20220601 074252	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3450	TRUE	0.00331810525695105	0.417644424889603	1249	1324	0.0124983924109822	0.0073476221750645	1.60864327066695	39.3630783819796	38003000	127
20220601 074848	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2852	TRUE	0.00569732302144987	0.397260900257797	1215	1377	0.0124915983838057	0.00790314146876812	1.98953067494446	59.7046093561235	38147000	128
20220601 075218	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1660	TRUE	0.00965264361680689	0.389305833840772	1219	1342	0.0123675953149568	0.00774646651875258	5.61266486443873	56.4069852172993	37865000	129
20220601 075312	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	551	TRUE	0.0199481829090084	0.145115038068971	6924	507	0.0156477340474	0.00659282621453031	0.0481567896627289	25.5796965849856	36929000	130
20220601 075434	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	641	TRUE	0.0196304995717864	0.203092902362594	899	1431	0.0137987116401386	0.00836983835397781	0.0926176029432719	26.0863667982748	37485000	131
20220601 075525	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	319	TRUE	0.0199284276566068	0.200139713767152	1571	1293	0.0177594813539472	0.00790037239409952	0.456138495692096	11.5685667931458	37258000	132
20220601 075805	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1638	TRUE	0.0182742566419171	0.345632057752199	3633	785	0.0122980527016385	0.00654623005199584	0.0150942985048986	99.6408294821584	37160000	133
20220601 080544	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3284	TRUE	0.00384483359951889	0.487370124491189	1198	797	0.0124703309162073	0.00822100554796475	0.251822975078655	57.2502641304111	38102000	134
20220601 080758	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1021	TRUE	0.0181721172822911	0.393505709127415	1347	1320	0.0128625848199727	0.00605523635977794	2.76407545611185	64.5381137516509	37915000	135
