cp	max_depth	max_bucket	min_split	ganancia_promedio
-0.1	16	100	50	7340000
-0.1	16	100	20	7340000
-0.1	16	100	10	7340000
-0.1	16	50	1000	8146667
-0.1	16	50	800	8363333
-0.1	16	50	600	8590000
-0.1	16	50	400	5990000
-0.1	16	50	200	5773333
-0.1	16	50	100	5460000
-0.1	16	50	50	5460000
-0.1	16	50	20	5460000
-0.1	16	50	10	5460000
-0.1	16	20	1000	8350000
-0.1	16	20	800	8620000
-0.1	16	20	600	9720000
-0.1	16	20	400	7983333
-0.1	16	20	200	6930000
-0.1	16	20	100	5946667
-0.1	16	20	50	5150000
-0.1	16	20	20	4393333
-0.1	16	20	10	4393333
-0.1	16	10	1000	9896667
-0.1	16	10	800	10193333
-0.1	16	10	600	9556667
-0.1	16	10	400	7383333
-0.1	16	10	200	6360000
-0.1	16	10	100	5063333
-0.1	16	10	50	4076667
-0.1	16	10	20	2603333
-0.1	16	10	10	2603333
-0.1	16	5	1000	9936667
-0.1	16	5	800	9783333
-0.1	16	5	600	9010000
-0.1	16	5	400	6483333
-0.1	16	5	200	6263333
-0.1	16	5	100	4636667
-0.1	16	5	50	3780000
-0.1	16	5	20	2716667
-0.1	16	5	10	2316667
-0.1	18	500	1000	10340000
-0.1	18	500	800	10340000
-0.1	18	500	600	10340000
-0.1	18	500	400	10340000
-0.1	18	500	200	10340000
-0.1	18	500	100	10340000
-0.1	18	500	50	10340000
-0.1	18	500	20	10340000
-0.1	18	500	10	10340000
-0.1	18	400	1000	10070000
-0.1	18	400	800	10086667
-0.1	18	400	600	10086667
-0.1	18	400	400	10086667
-0.1	18	400	200	10086667
-0.1	18	400	100	10086667
-0.1	18	400	50	10086667
-0.1	18	400	20	10086667
-0.1	18	400	10	10086667
-0.1	18	300	1000	9926667
-0.1	18	300	800	8710000
-0.1	18	300	600	7226667
-0.1	18	300	400	7226667
-0.1	18	300	200	7226667
-0.1	18	300	100	7226667
-0.1	18	300	50	7226667
-0.1	18	300	20	7226667
-0.1	18	300	10	7226667
-0.1	18	200	1000	9396667
-0.1	18	200	800	8830000
-0.1	18	200	600	7523333
-0.1	18	200	400	7666667
-0.1	18	200	200	7666667
-0.1	18	200	100	7666667
-0.1	18	200	50	7666667
-0.1	18	200	20	7666667
-0.1	18	200	10	7666667
-0.1	18	100	1000	7986667
-0.1	18	100	800	7973333
-0.1	18	100	600	8736667
-0.1	18	100	400	7240000
-0.1	18	100	200	7340000
-0.1	18	100	100	7340000
-0.1	18	100	50	7340000
-0.1	18	100	20	7340000
-0.1	18	100	10	7340000
-0.1	18	50	1000	8146667
-0.1	18	50	800	8363333
-0.1	18	50	600	8590000
-0.1	18	50	400	5920000
-0.1	18	50	200	5703333
-0.1	18	50	100	5403333
-0.1	18	50	50	5403333
-0.1	18	50	20	5403333
-0.1	18	50	10	5403333
-0.1	18	20	1000	8296667
-0.1	18	20	800	8566667
-0.1	18	20	600	9666667
-0.1	18	20	400	7793333
-0.1	18	20	200	6716667
-0.1	18	20	100	5810000
-0.1	18	20	50	4910000
-0.1	18	20	20	4216667
-0.1	18	20	10	4216667
-0.1	18	10	1000	9880000
-0.1	18	10	800	10176667
-0.1	18	10	600	9540000
-0.1	18	10	400	7356667
-0.1	18	10	200	6306667
-0.1	18	10	100	5156667
-0.1	18	10	50	4263333
-0.1	18	10	20	2893333
-0.1	18	10	10	2893333
-0.1	18	5	1000	9633333
-0.1	18	5	800	9466667
-0.1	18	5	600	8856667
-0.1	18	5	400	6316667
-0.1	18	5	200	5973333
-0.1	18	5	100	4683333
-0.1	18	5	50	3583333
-0.1	18	5	20	2443333
-0.1	18	5	10	1896667
-0.1	20	500	1000	10340000
-0.1	20	500	800	10340000
-0.1	20	500	600	10340000
-0.1	20	500	400	10340000
-0.1	20	500	200	10340000
-0.1	20	500	100	10340000
-0.1	20	500	50	10340000
-0.1	20	500	20	10340000
-0.1	20	500	10	10340000
-0.1	20	400	1000	10070000
-0.1	20	400	800	10086667
-0.1	20	400	600	10086667
-0.1	20	400	400	10086667
-0.1	20	400	200	10086667
-0.1	20	400	100	10086667
-0.1	20	400	50	10086667
-0.1	20	400	20	10086667
-0.1	20	400	10	10086667
-0.1	20	300	1000	9926667
-0.1	20	300	800	8710000
-0.1	20	300	600	7226667
-0.1	20	300	400	7226667
-0.1	20	300	200	7226667
-0.1	20	300	100	7226667
-0.1	20	300	50	7226667
-0.1	20	300	20	7226667
-0.1	20	300	10	7226667
-0.1	20	200	1000	9396667
-0.1	20	200	800	8830000
-0.1	20	200	600	7523333
-0.1	20	200	400	7666667
-0.1	20	200	200	7666667
-0.1	20	200	100	7666667
-0.1	20	200	50	7666667
-0.1	20	200	20	7666667
-0.1	20	200	10	7666667
-0.1	20	100	1000	7986667
-0.1	20	100	800	7973333
-0.1	20	100	600	8736667
-0.1	20	100	400	7240000
-0.1	20	100	200	7340000
-0.1	20	100	100	7340000
-0.1	20	100	50	7340000
-0.1	20	100	20	7340000
-0.1	20	100	10	7340000
-0.1	20	50	1000	8146667
-0.1	20	50	800	8363333
-0.1	20	50	600	8590000
-0.1	20	50	400	5920000
-0.1	20	50	200	5703333
-0.1	20	50	100	5370000
-0.1	20	50	50	5370000
-0.1	20	50	20	5370000
-0.1	20	50	10	5370000
-0.1	20	20	1000	8163333
-0.1	20	20	800	8433333
-0.1	20	20	600	9533333
-0.1	20	20	400	7660000
-0.1	20	20	200	6583333
-0.1	20	20	100	5676667
-0.1	20	20	50	4776667
-0.1	20	20	20	4083333
-0.1	20	20	10	4083333
-0.1	20	10	1000	9826667
-0.1	20	10	800	10123333
-0.1	20	10	600	9486667
-0.1	20	10	400	7273333
-0.1	20	10	200	6186667
-0.1	20	10	100	4990000
-0.1	20	10	50	3726667
-0.1	20	10	20	2546667
-0.1	20	10	10	2546667
-0.1	20	5	1000	9386667
-0.1	20	5	800	9203333
-0.1	20	5	600	8586667
-0.1	20	5	400	6043333
-0.1	20	5	200	5856667
-0.1	20	5	100	4716667
-0.1	20	5	50	3790000
-0.1	20	5	20	2793333
-0.1	20	5	10	2303333
-0.5	2	500	1000	7110000
-0.5	2	500	800	7110000
-0.5	2	500	600	7110000
-0.5	2	500	400	7110000
-0.5	2	500	200	7110000
-0.5	2	500	100	7110000
-0.5	2	500	50	7110000
-0.5	2	500	20	7110000
-0.5	2	500	10	7110000
-0.5	2	400	1000	7110000
-0.5	2	400	800	7110000
-0.5	2	400	600	7110000
-0.5	2	400	400	7110000
-0.5	2	400	200	7110000
-0.5	2	400	100	7110000
-0.5	2	400	50	7110000
-0.5	2	400	20	7110000
-0.5	2	400	10	7110000
-0.5	2	300	1000	7110000
-0.5	2	300	800	7110000
-0.5	2	300	600	7110000
-0.5	2	300	400	7110000
-0.5	2	300	200	7110000
