fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 235216	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	40	TRUE	111599	0.101520583732809	0.985774566277488	3832	19	0.01077621591114	12613000	114
20220530 235409	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	653	TRUE	111599	0.0104756560693632	0.334934706620237	3062	255	0.0150332223770966	13471000	115
20220530 235546	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	510	TRUE	111599	0.0100052326443767	0.371273607916069	3621	269	0.0128252079758729	13534000	116
20220530 235617	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	198	TRUE	111599	0.0210586762680571	0.967407259472934	3712	17	0.017763046144275	12466000	117
20220530 235625	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	15	TRUE	111599	0.263695559893197	0.999247551212624	8000	751	0.020357968775983	12618000	118
20220530 235644	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	43	TRUE	111599	0.0716646202610877	0.399040534387827	1975	267	0.0175093813476771	12480000	119
20220530 235743	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	183	TRUE	111599	0.0106864584984676	0.88388461282605	2414	531	0.0153518159236555	13182000	120
20220530 235757	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	28	TRUE	111599	0.123297510683408	0.390934842544855	4812	372	0.0145229714410401	13094000	121
20220530 235816	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	103	TRUE	111599	0.0506131629430081	0.681082280738838	3961	898	0.0169852316796718	13436000	122
20220530 235831	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	46	TRUE	111599	0.100632179287234	0.20117315304566	2535	964	0.0221981400631001	12414000	123
20220530 235842	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	38	TRUE	111599	0.298777618280109	0.350360089422127	8000	32	0.0149383648911464	12402000	124
20220530 235852	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	24	TRUE	111599	0.185691921981992	0.63182413521295	4140	1004	0.0175895367819071	13143000	125
20220530 235908	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	35	TRUE	111599	0.0729438394804273	0.603432346445241	4401	429	0.0178456115048324	12621000	126
20220531 000100	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	867	TRUE	111599	0.0111774667136098	0.386374521258274	7998	655	0.0151866806655612	13379000	127
20220531 000111	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	13	TRUE	111599	0.29851767746556	0.531522287907304	6060	638	0.0234217895756592	11959000	128
20220531 000123	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	31	TRUE	111599	0.111288563614007	0.203269242073421	3966	1017	0.0164214883202538	12631000	129
